English,Polish
you,ty
i,ja, i
to,do
it,to
and,oraz
that,że
of,z
is,jest
in,w
what,co
we,my
me,ja
this,ten
he,on
for,dla
my,mój
on,na
have,mieć
your,twój
do,robić
was,był
no,nie
not,nie
be,być
are,są
know,wiedzieć
can,móc
with,z
but,ale
all,wszystko
so,więc
just,tylko
there,tam
here,tutaj
they,one
like,tak jak
get,dostawać
she,ona
go,iść
if,jeśli
right,prawo
out,na zewnątrz
about,o
up,w górę
at,w
him,jego
now,teraz
one,jeden
come,chodź
well,dobrze
her,ją
how,jak
yeah,tak
ve,ve
will,będzie
got,dostał
want,chcieć
think,myśleć
as,jak
see,widzieć
did,zrobił
good,dobry
who,kto
why,czemu
from,z
let,wynajmować
his,jego
yes,tak
when,gdy
going,pójście
time,czas
an,jakiś
okay,w porządku
back,plecy
look,wyglądać
us,nas
would,zrobiłbym
them,ich
where,gdzie
were,byli
take,brać
then,następnie
had,miał
or,lub
been,został
our,nasz
gonna,zamierzać
tell,powiedzieć
really,naprawdę
man,facet
some,niektóre
say,mówić
hey,siema
could,mógłby
by,za pomocą
need,potrzebować
something,coś
has,ma
too,także
more,jeszcze
way,droga
down,na dół
make,robić
very,bardzo
never,nigdy
only,tylko
people,ludzie
over,koniec
because,dlatego
little,mały
please,proszę
love,kocham
should,powinien
mean,oznaczać
said,powiedział
sorry,przepraszam
give,dawać
off,wyłączony
am,jestem
thank,dziękować
any,każdy
two,dwa
even,nawet
much,dużo
doing,czyn
sure,jasne
thing,rzecz
these,te
help,wsparcie
first,pierwszy
into,w
anything,byle co
still,nadal
find,odnaleźć
life,życie
nothing,nic
sir,pan
day,dzień
god,bóg
work,praca
their,ich
uh,uh
again,ponownie
maybe,być może
must,musi
before,zanim
other,inny
wait,czekać
stop,zatrzymaj się
call,połączenie
after,po
won,wygrał
talk,rozmowa
away,z dala
than,niż
thought,myśl
home,dom
night,noc
put,położyć
great,świetnie
those,tych
last,ostatni
better,lepiej
everything,wszystko
told,powiedział
new,nowy
things,rzeczy
always,zawsze
keep,trzymać
long,długie
years,lata
leave,odejdź
does,czy
money,pieniądze
around,na około
doesn,czyn
name,nazwa
place,miejsce
ever,zawsze
feel,czuć
guys,chłopaki
father,ojciec
guy,facet
made,zrobiony
old,stary
isn,isn
which,który
big,duża
lot,działka
done,gotowe
hello,witam
nice,ładny
believe,uważać
girl,dziewczyna
someone,ktoś
fine,cienki
thanks,dziękuję
wanted,poszukiwany
kind,uprzejmy
coming,nadchodzący
house,dom
every,każdy
through,poprzez
being,istnienie
course,kurs
stay,zostawać
left,lewy
dad,tata
enough,wystarczająco
happened,stało się
came,przyszło
may,może
mother,matka
wrong,zło
world,świat
bad,zły
might,móc
three,trzy
today,dziś
listen,słuchać
another,inne
understand,rozumiesz
hear,słyszeć
remember,zapamiętaj
ask,zapytać się
own,własny
same,to samo
show,pokazać
else,w przeciwnym razie
kill,zabić
talking,mówić
found,znaleziony
next,następny
getting,dostawanie
care,opieka
car,samochód
looking,patrząc
son,syn
try,próbować
woman,kobieta
went,wszedł
hi,cześć
dead,nie żyje
many,wiele
mind,umysł
wasn,był
friend,przyjaciel
best,najlepsza
mom,mama
hell,piekło
morning,rano
trying,próbować
boy,chłopak
together,razem
yourself,się
job,stanowisko
saw,widział
family,rodzina
real,prawdziwy
without,bez
baby,dziecko
room,pokój
wouldn,by
already,już
move,ruszaj się
most,bardzo
seen,widziany
live,relacja na żywo
miss,tęsknić
actually,właściwie
huh,huh
shit,gówno
both,zarówno
heard,usłyszał
once,raz
ready,gotowy
head,głowa
called,nazywa
