English,Polish
you,ty
i,ja, i
to,do
it,to
and,oraz
that,¿e
of,z
is,jest
in,w
what,co
we,my
me,ja
this,ten
he,on
for,dla
my,mój
on,na
have,mieæ
your,twój
do,robiæ
was,by³
no,nie
not,nie
be,byæ
are,s¹
know,wiedzieæ
can,móc
with,z
but,ale
all,wszystko
so,wiêc
just,tylko
there,tam
here,tutaj
they,one
like,tak jak
get,dostawaæ
she,ona
go,iœæ
if,jeœli
right,prawo
out,na zewn¹trz
about,o
up,w górê
at,w
him,jego
now,teraz
one,jeden
come,chodŸ
well,dobrze
her,j¹
how,jak
yeah,tak
ve,ve
will,bêdzie
got,dosta³
want,chcieæ
think,myœleæ
as,jak
see,widzieæ
did,zrobi³
good,dobry
who,kto
why,czemu
from,z
let,wynajmowaæ
his,jego
yes,tak
when,gdy
going,pójœcie
time,czas
an,jakiœ
okay,w porz¹dku
back,plecy
look,wygl¹daæ
us,nas
would,zrobi³bym
them,ich
where,gdzie
were,byli
take,braæ
then,nastêpnie
had,mia³
or,lub
been,zosta³
our,nasz
gonna,zamierzaæ
tell,powiedzieæ
really,naprawdê
man,facet
some,niektóre
say,mówiæ
hey,siema
could,móg³by
by,za pomoc¹
need,potrzebowaæ
something,coœ
has,ma
too,tak¿e
more,jeszcze
way,droga
down,na dó³
make,robiæ
very,bardzo
never,nigdy
only,tylko
people,ludzie
over,koniec
because,dlatego
little,ma³y
please,proszê
love,kocham
should,powinien
mean,oznaczaæ
said,powiedzia³
sorry,przepraszam
give,dawaæ
off,wy³¹czony
am,jestem
thank,dziêkowaæ
any,ka¿dy
two,dwa
even,nawet
much,du¿o
doing,czyn
sure,jasne
thing,rzecz
these,te
help,wsparcie
first,pierwszy
into,w
anything,byle co
still,nadal
find,odnaleŸæ
life,¿ycie
nothing,nic
sir,pan
day,dzieñ
god,bóg
work,praca
their,ich
uh,uh
again,ponownie
maybe,byæ mo¿e
must,musi
before,zanim
other,inny
wait,czekaæ
stop,zatrzymaj siê
call,po³¹czenie
after,po
won,wygra³
talk,rozmowa
away,z dala
than,ni¿
thought,myœl
home,dom
night,noc
put,po³o¿yæ
great,œwietnie
those,tych
last,ostatni
better,lepiej
everything,wszystko
told,powiedzia³
new,nowy
things,rzeczy
always,zawsze
keep,trzymaæ
long,d³ugie
years,lata
leave,odejdŸ
does,czy
money,pieni¹dze
around,na oko³o
doesn,czyn
name,nazwa
place,miejsce
ever,zawsze
feel,czuæ
guys,ch³opaki
father,ojciec
guy,facet
made,zrobiony
old,stary
isn,isn
which,który
big,du¿a
lot,dzia³ka
done,gotowe
hello,witam
nice,³adny
believe,uwa¿aæ
girl,dziewczyna
someone,ktoœ
fine,cienki
thanks,dziêkujê
wanted,poszukiwany
kind,uprzejmy
coming,nadchodz¹cy
house,dom
every,ka¿dy
through,poprzez
being,istnienie
course,kurs
stay,zostawaæ
left,lewy
dad,tata
enough,wystarczaj¹co
happened,sta³o siê
came,przysz³o
may,mo¿e
mother,matka
wrong,z³o
world,œwiat
bad,z³y
might,móc
three,trzy
today,dziœ
listen,s³uchaæ
another,inne
understand,rozumiesz
hear,s³yszeæ
remember,zapamiêtaj
ask,zapytaæ siê
own,w³asny
same,to samo
show,pokazaæ
else,w przeciwnym razie
kill,zabiæ
talking,mówiæ
found,znaleziony
next,nastêpny
getting,dostawanie
care,opieka
car,samochód
looking,patrz¹c
son,syn
try,próbowaæ
woman,kobieta
went,wszed³
hi,czeœæ
dead,nie ¿yje
many,wiele
mind,umys³
wasn,by³
friend,przyjaciel
best,najlepsza
mom,mama
hell,piek³o
